CASE,SERIAL,QUESTNNR,MODE,STARTED,AR01,AR02,PR01_01,SS02_01,SS08_01,
Interview-Number ,ID or participant code,Questionare that was used,Interview mode,Time the interview started,FAQ,Experience with X,Information channel,informed,Wishes,
6,,base,interview,2025-01-22 15:17:11,1,4,2,2,More open access material.,
18,,base,interview,2025-01-23 16:51:36,1,3,2,2,More statistic courses.,
20,,base,interview,2025-01-23 17:03:56,3,2,2,2,,
21,,base,interview,2025-01-23 17:38:10,1,4,1,1,Library should be open past 8 p.m.,
25,,base,interview,2025-01-24 09:02:50,,,1,1,,
26,,base,interview,2025-01-24 11:33:24,1,4,2,2,,
30,,base,interview,2025-01-24 12:56:38,3,4,1,1,,
31,,base,interview,2025-01-24 12:57:13,2,4,2,2,I really like everything as it is, great job.
33,,base,interview,2025-01-24 14:09:59,4,2,2,1,,
34,,base,interview,2025-01-24 14:11:14,2,2,2,2,,
35,,base,interview,2025-01-24 14:14:24,2,4,2,2,,
36,,base,interview,2025-01-24 14:14:38,1,1,2,2,More courses on how to review a paper.,
37,,base,interview,2025-01-24 14:14:39,1,3,2,2,,
40,,base,interview,2025-01-24 15:33:53,3,4,2,2,,
41,,base,interview,2025-01-24 15:33:55,3,4,2,2,,
42,,base,interview,2025-01-24 15:34:02,1,4,1,2,Courses on science theory and how to argue scientifically.,
45,,base,interview,2025-01-24 18:04:37,2,5,2,1,,
47,,base,interview,2025-01-24 19:31:41,1,1,2,2,,
51,,base,interview,2025-01-25 10:02:46,2,4,2,2,Very much happy with how things are, thanks.
52,,base,interview,2025-01-25 10:03:09,1,3,2,2,,
66,,base,interview,2025-01-28 12:21:14,3,3,1,2,,
67,,base,interview,2025-01-28 12:22:10,3,5,2,2,,
68,,base,interview,2025-01-28 13:07:23,3,4,1,2,,
69,,base,interview,2025-01-28 13:07:31,4,4,1,1,More xyz. I really like abc.,
70,,base,interview,2025-01-28 13:07:34,1,3,2,2,,
79,,base,interview,2025-01-29 11:39:50,1,3,2,2,,
80,,base,interview,2025-01-29 11:40:04,2,4,1,2,,
81,,base,interview,2025-01-29 12:00:23,3,3,2,2,,
83,,base,interview,2025-01-29 16:26:50,2,3,2,2,,
86,,base,interview,2025-01-30 11:27:59,2,4,1,2,,
